year,iso_o,iso_d,dist,lndist,trade_o,asean_FTA,contig,comlang_off,comcol,comrelig,gdp_o,gdp_d,rta,home,flow,asean,tariff,reporter_prevalence_score,partner_prevalence_score,international,concat
2021,IDN,BRN,1527,7.331060305,103153.63,1,0,0,0,0.28002,1190000000,14000000,1,0,103153.63,1,7.59731,3,2.4,1,IDNBRN
2021,IDN,CHN,4425,8.395025557,27961883,0,0,0,0,0.010416,1190000000,17700000000,1,0,27961883,0,8.40884,3,6.8,1,IDNCHN
2021,IDN,IDN,520,6.253828812,59263,1,0,0,0,0.191389,1190000000,1190000000,0,1,59263,1,0,3,3,0,IDNIDN
2021,IDN,IND,4999,8.516993171,11802048,1,0,0,0,0.051223,1190000000,3170000000,1,0,11802048,1,8.37282,3,4.9,1,IDNIND
2021,IDN,JPN,5772,8.66077392,15992660,0,0,0,0,0.000594,1190000000,4940000000,1,0,15992660,0,8.65009,3,3.3,1,IDNJPN
2021,IDN,KHM,1977,7.589335823,618521.14,1,0,0,0,0.010491,1190000000,27000000,1,0,618521.14,1,15.0863,3,4.4,1,IDNKHM
2021,IDN,LAO,2715,7.906547232,6836.967,1,0,0,0,0.004652,1190000000,18800000,1,0,6836.967,1,10.0666,3,3.2,1,IDNLAO
2021,IDN,MMR,2804,7.938802248,875626.18,1,0,0,0,0.017403,1190000000,65100000,1,0,875626.18,1,14.0032,3,2.6,1,IDNMMR
2021,IDN,MYS,1182,7.074963198,8801815.1,1,1,0,0,0.215824,1190000000,373000000,1,0,8801815.1,1,8.48711,3,2.4,1,IDNMYS
2021,IDN,PHL,2782,7.930925372,6770111.5,1,0,0,0,0.043193,1190000000,394000000,1,0,6770111.5,1,9.19055,3,4,1,IDNPHL
2021,IDN,SGP,894,6.795705775,10380033,1,0,0,0,0.078033,1190000000,397000000,1,0,10380033,1,8.64508,3,2.6,1,IDNSGP
2021,IDN,THA,2312,7.74586823,6167148.6,1,0,0,0,0.01713,1190000000,506000000,1,0,6167148.6,1,8.48922,3,2.1,1,IDNTHA
2021,IDN,USA,16181,9.691592993,17873575,0,0,0,0,0.0325,1190000000,23000000000,0,0,17873575,0,8.64168,3,4.1,1,IDNUSA
2021,IDN,VNM,1876,7.53689713,5153358.4,1,0,0,0,0.005489,1190000000,363000000,1,0,5153358.4,1,9.72022,3,5,1,IDNVNM
2021,IND,ARE,2204,7.69802917,29532440,0,0,0,1,0.110169,3170000000,41500000,0,0,29532440,0,13.2077,4.9,3.4,1,INDARE
2021,IND,AUS,10192,9.229358378,2973868.3,0,0,1,0,0.006665,3170000000,1540000000,0,0,2973868.3,0,13.2981,4.9,3.5,1,INDAUS
2021,IND,BRN,4767,8.469472455,56810.158,1,0,0,1,0.075009,3170000000,14000000,1,0,56810.158,1,6.82409,4.9,2.4,1,INDBRN
2021,IND,CHN,4252,8.355144739,17278833,0,1,0,0,0.002784,3170000000,17700000000,1,0,17278833,0,11.9114,4.9,6.8,1,INDCHN
